customer_id,latest_purchase_date,recency,frequency,monetary,cluster,segment_name,recommended_action
C0012,2025-02-14,320,1,8000,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0019,2025-07-23,161,1,4750,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0037,2025-10-16,76,1,1875,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0038,2025-08-24,129,1,3000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0046,2025-09-10,112,1,142500,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0050,2025-12-08,23,1,35000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0053,2025-08-21,132,1,8000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0061,2025-08-29,124,1,3500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0072,2025-12-25,6,1,4500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0075,2025-09-18,104,1,105000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0079,2025-07-29,155,1,50000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0080,2025-03-13,293,1,5700,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0097,2025-07-05,179,1,120000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0102,2025-02-28,306,1,12800,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
C0114,2025-09-21,101,1,75000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0117,2025-11-24,37,1,6375,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0125,2025-06-15,199,1,6300,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0126,2025-09-14,108,1,6375,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0140,2025-10-05,87,1,4200,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0167,2025-04-06,269,2,9900,0,Loyal Customers,"Offer loyalty rewards, referrals, and personalized repeat-purchase campaigns"
C0172,2025-09-04,118,1,12000,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0175,2025-09-06,116,1,127500,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0179,2025-07-03,181,1,42500,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0182,2025-08-03,150,1,3500,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0184,2025-10-29,63,1,2375,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0189,2025-03-10,296,1,95000,3,High-Value One-Time Customers,"Provide VIP offers, premium recommendations, and incentives for a second purchase"
C0191,2025-05-29,216,1,2400,1,Recent Low-Value Customers,"Use welcome offers, product recommendations, and low-cost automated campaigns"
C0192,2025-01-29,336,1,3500,2,At-Risk Customers,"Send re-engagement discounts, reminders, and limited-time win-back offers"
